,Slippage Loss,Liquidity (1 - 2),Liquidity (1 - 3),Liquidity (1 - 4),Liquidity (1 - 5),Liquidity (2 - 3),Liquidity (2 - 4),Liquidity (2 - 5),Liquidity (3 - 4),Liquidity (3 - 5),Liquidity (4 - 5)
0,15.287567589457652,22803.664963772375,22887.99702152676,16263.954466316232,22053.3960020259,3643.2157575681563,4581.023793813504,2927.35137929533,1421.1992008735053,3150.7386798840844,267.4587349241518
1,15.390175250018302,22574.64663350413,204.3045720779045,1129.5011482526495,24866.6748676064,21861.339234281775,22991.98834816691,1438.211024116098,1191.1602870940576,1438.8167620818951,2303.357122818191
2,15.554654846574536,15452.421977172775,20302.06530632683,22373.458358721506,22248.96373321848,459.1913554938816,11600.253926730305,265.85313846693754,1134.0922034889538,5300.272821210823,863.4271791695215
3,15.6141401129249,801.9741823569065,584.8665770871722,4087.5868952456567,22561.44419277134,3814.9409074143346,3796.043438573136,17008.201299029224,5415.857471062353,21509.963151295826,20419.12188516405
4,15.617036444008164,19640.980021470226,1659.3890249349295,773.0680941335372,8807.473485624301,18831.886167544995,17336.56638264973,27070.760402467797,1367.6208075345476,627.4902886596537,3884.765324980289
5,15.679007082335687,6366.013897784525,376.2801772568728,2931.3129628855513,15956.836976730712,2368.9987906226474,5560.784828959027,21964.46125196372,631.3464593929457,22101.497610617484,21742.467043786528
6,15.750857348165468,20422.553745492798,18969.251523198425,21433.93191085072,19230.980425387428,9500.50792884612,3453.7043669068908,4805.5092664212525,997.7493571882123,1165.2838091175402,20.527666590608636
7,15.807773271075803,439.0939184736507,985.5148968681084,21354.106610001712,1589.1085050753466,13821.959085422455,242.34144811284673,17989.7959269755,22679.017618142592,606.3141363765402,20292.747854551242
8,15.821802717448506,241.39962770790848,21728.098800330252,9963.896319674921,1151.2925600784965,20076.028403015793,1270.3487530826499,6629.984859379977,19094.327507991904,18849.99392785257,994.6292408855207
9,15.866813097965192,16425.54788953528,399.7620069514261,20564.967510025148,1154.5387933859195,22132.0195879178,17695.960345805222,17689.065367767907,530.3659942805772,3002.714084794636,405.05841953607063
